,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Ground Service,Inflight Entertainment,Wifi and Connectivity,Value For Money,Recommended,origin,destination,Index
59894,Delta Air Lines,1,"""strongly recommend""",2023-09-04,True," It's one of the best companies I've ever flown. The staff is very polite and communicable. There were no delays, I even came to the destination in advance. Was glad to fly with them, strongly recommend!","CRJ 900, A321",Solo Leisure,Economy Class,Toronto to Las Vegas,May 2023,5.0,5.0,5.0,5.0,,5.0,5.0,yes,Toron,,65851
94176,Air Canada,1,"""PayPal charged me twice""",2024-03-06,False,"  I originally paid for this flight Brisbane to Vancouver, Toronto - Vancouver - Brisbane, costing $3182.38. The first time I booked the transaction said that it was unsuccessful so I did it again. PayPal charged me twice. Then I contacted PayPal and Air Canada and was refunded one of the booking. Then two weeks later Air Canada refunded the other booking and I was left without any flights. I went to book only to find that the payment would be $3500+. I contacted Air Canada and was given a discount code to use, could not use the discount code on multi city flights so change my plans to fly Brisbane to Vancouver, Vancouver to Brisbane. Using this discount code was $2800 dollars. if I add the flight from Toronto it is another $800 adding up to $3600. this is $500 more than the original flight What a rip off",,Couple Leisure,Economy Class,Brisbane to Vancouver,March 2024,,,,,,,1.0,no,Brisbane,Vancouver,103518
77109,China Southern Airlines,9,"""service was excellent""",2020-01-15,True,"  Beijing to London via Sanya. At Check-in at Beijing the staff did their best to comply with your request. Everything was dealt with in a orderly way, keeping the customers informed of boarding progress. This was my first time flying from Beijing to London with a transit at Sanya Airport. At Sanya the Domestic and International terminals are within walking distance of each other. The flight from Sanya to London was not full, but service was excellent and cabin crew had nice smiles. ",,Solo Leisure,Economy Class,Beijing to London via Sanya,November 2019,5.0,5.0,5.0,5.0,4.0,,5.0,yes,Beijing,LondonviaSanya,84794
31563,Norwegian,1,Norwegian customer review,2014-03-11,False,I booked a couple of flights from Amsterdam to Oslo and Oslo to Tromso and return to Amsterdam from Tromso (via Oslo). The flight was delayed 1 hour 35 minutes and I missed our connecting flight to Amsterdam thus had to take the flight the next day. Upon the notification of a delay (initially for an hour which ended up being 1 hour and 30 minutes) on the display screen in Tromso airport I had no choice but despair. Unfortunately all the effort to change the flight and book an earlier flight was turned down. It was very disappointing to hear that the situation was helpless and there is nothing that Norwegian could do. Last but not the least the lack enthusiasm from staff to help me solve the problem was particularly frustrating.,,,Economy Class,,,3.0,1.0,2.0,,2.0,,2.0,no,,,34669
9114,Wizz Air,1,"""never fly with Wizz Air again""",2020-08-19,True,"  As I was browsing through the additional services offered by Wizz Air, the Wizz Air website wrongfully redirected me while purchasing Wizz priority for my return flight and led me to purchase an additional baggage for my outbound flight. I tried to contact Wizz Air's customer service as soon as I completed the payment through their payment phone numbers but the operators refused to help me, arguing the website was working. I assure you it's not. I was using the Chrome browser on my desktop computer and the website probably messed up between different services I had been browsing. As a result, upon an expense of 26€ for my outbound and return flights, I had to spend a total of 34€ for Wizz priority and an additional 31€ for the wrongfully purchased additional 10kg luggage. Furthermore, no protection against the Covid-19 emergency is adopted in flight. Passengers are seated really close and the flight attendants do not warn those who are not properly wearing a mask. I will never fly with Wizz Air again.",,Solo Leisure,Economy Class,Milan Malpensa to Athens,August 2020,1.0,1.0,,1.0,,,1.0,no,MilanMalpensa,Athens,9999
93720,Aeromexico,8,"""movies you could watch on flights """,2015-12-01,False,"Chicago to Huatulco via Mexico City. This was the first time I flew Aeromexico. We had a bad problem in Mexico City with our luggage. Being in Mexico City, not a lot of employees speak English and we don't speak Spanish. We went thru customs and was told by an Aeromexico employee to put all of our luggage on the conveyor, even from what we understood our carry ons. Two of our carry on had name tags an Aeromexico tag and one had no identification on it whatsoever. After about 10 minutes we realized that we shouldn't have done that at least with the luggage that had no identification. After speaking to 5 or 6 people we explained to some one who understood what happened. They took us to lost luggage department and found our backpack that had no tags (about $3000 worth of items in luggage). We figured the other two items would make it to Huatulco. They did not. We did receive our other 2 items within 24 hours. The flights were on time going down but late leaving coming home, but on time arrival. They had movies you could watch on the flights and we had a meal (sandwich and snacks) and they served alcohol at no Charge. ",,Couple Leisure,Economy Class,IAD to HUX via MEX,November 2015,4.0,4.0,5.0,4.0,4.0,,4.0,yes,IAD,HUXviaMEX,103016
22955,Southwest Airlines,4,"""extremely poorly handled""",2019-06-25,True,"  Oakland to Seattle. After being an hour late on mechanical issues, then loaded and taxing around then returned to the gate. Finally they bored a cop to escort off a passenger that ""wasn't listening to attendants"" along with his family. While doing it, the attendant joked about how cute folks thought the cop was. It was extremely poorly handled and now we are going to be 3 hours late. The keystone cops and attendants could not find their luggage. It was the worst flight I have had in the last 2 months and I have been on 5 business trips, so 10 flights. Now we have to gas up and get ok to leave again. Maybe we will never get there.",,Business,Economy Class,Oakland to Seattle,June 2019,3.0,2.0,,2.0,,,4.0,no,Oakland,Seattle,25201
58202,Iberia,9,"""definitely fly again""",2016-01-07,False,"Chicago to Madrid with Iberia business class. Excellent service, nice design of Business cabin and seats. Food is below average though. Decent amenity kit. Limited internet usage for free. Nice shower and breakfast upon arrival at the arrival lounge at Barajas airport of Madrid. I would definitely fly again.",A330,Solo Leisure,Business Class,IAD to MAD,January 2016,5.0,4.0,3.0,4.0,4.0,4.0,5.0,yes,IAD,MAD,64004
79704,Air New Zealand,3,Air New Zealand customer review,2014-04-22,False,NZ90 777-200 from Japan to Auckland. Business class. Plane was almost on time departing. Food was dreadful - in the last 18 months the food on AIR NZ has taken a serious nosedive - dinner so poor that I didn't bother with breakfast. Service was the usual indifference. Entertainment system is a joke and the plane is grubby. Only good thing is the lie flat bed - best approach when flying on the 777-200 is to eat at the airport then lie down and sleep the whole flight!,,,Business Class,,,4.0,2.0,1.0,,1.0,,2.0,no,,,87631
46809,Lion Air,3,"""30% of flights late""",2018-08-09,True,"  Jakarta to Tarakan. Late Is Our Name is what Indonesians I've met call Lion Air. They claim a 70% on time performance score. I fly on them at least once or twice a month because I usually have no other option (like it or not, they have flights to more places than anyone else). How is it that easily 75% of the time I am in the 30% of flights that are late? They invariably claim operational reasons are behind the delays. What this often means is that they give the plane that was scheduled for your flight to another flight that was delayed. That way they can get away with giving passengers some bottled water and a bun for your 2-hour delay instead of forking over Rp.400000 to each passenger who would have been delayed for 4 hours on the other flight (as required by Indonesia's Passengers Bill of Rights law). Before serious penalties are incurred, they will then give someone else's airplane to your flight so that they won't have to pay you any money either. And these switches continue at that airport for hours until they get caught up or the day is finally over.",Boeing 737-900ER,Business,Economy Class,Jakarta to Tarakan,August 2018,1.0,4.0,1.0,3.0,,,3.0,no,Jakarta,Tarakan,51443
